word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn
unrivaled,"경쟁자[상대]가 없는, 무적의, 무쌍의, 비할 데 없는",无敌的;无双的,,/ˌənˈrīvəld/,,
serendipity,뜻밖의 재미[기쁨],（偶然发现有趣或珍贵之物的）机缘，幸运,,/ˌsɛr(ə)nˈdɪpɪti/,,
cursive,필기체인,草书的；连笔的,,/ˈkəːsɪv/,,
exhume,(특히 검시를 위해 시체를) 파내다[발굴하다],（从坟墓中）掘出（尸体）,,/ɛksˈ(h)juːm/,,
talisman,(행운을 가져다준다고 여겨지는) 부적(符籍),护身符；避邪物,,/ˈtalɪzmən/,,
inane,어리석은; 무의미한,极其愚蠢的；无意义的；无聊的,,/ɪˈneɪn/,,
concentric,"중심이 같은, 동심원의",（指圆）同心的,,/kənˈsɛntrɪk/,,
abatement,"감소, 감퇴; 경감, 완화; (가격·세 등의) 경감액",减弱;减轻;减少,,/əˈbeɪtm(ə)nt/,,
anathema,"절대 반대(하는 것), 아주 싫은 것",令人讨厌的事物,,/əˈnaθəmə/,,
acclaim,"칭송하다, 환호를 보내다",（公开的）称誉；赞赏；欢迎,,/əˈkleɪm/,,
flagrant,"노골적인, 명백한",骇人听闻的；公然的；罪恶昭彰的,,/ˈfleɪɡr(ə)nt/,,
chicanery,교묘한 속임수,诡辩；诡计；欺诈,,/ʃɪˈkeɪnəri/,,
depraved,(도덕적으로) 타락한[부패한],道德败坏的，堕落的，恶毒的,,/dɪˈpreɪvd/,,
hike,(가격경비 등의) 대폭 인상[급등],(价格、花费等的)大幅度提高，猛增；把(价格、税率等)大幅提高,,/hʌɪk/,,
distaste,"불쾌감, 혐오감",厌恶，讨厌，不喜欢,,/dɪsˈteɪst/,,
peruse,숙독[정독]하다,随便翻阅；浏览,,/pəˈruːz/,,
fusillade,연속 사격; 빗발치는 것,（子弹的）齐射，连发,,/ˌfjuːzɪˈleɪd/,,
riposte,(특히 비판에 대한 기지 있는) 응수[반격],机敏的回答；巧妙的应对,,/rɪˈpɒst/,,
conjecture,추측(한 내용),推测；猜测；猜想；臆断,,/kənˈdʒɛktʃə/,,
mercurial,변덕스러운,多变的，反覆无常的,,/məːˈkjʊərɪəl/,,
acumen,(일에 대한) 감각,敏锐；精明,,/ˈakjʊmən/,,
fallacy,(많은 사람들이 옳다고 믿는) 틀린 생각,谬见，谬论，谬误,,/ˈfaləsi/,,
intransigent,"고집스러운, 비협조적인",固执的，不妥协的，不让步的,,/ɪnˈtransɪdʒ(ə)nt/,,
ludicrous,터무니없는,愚蠢可笑的；荒谬的,,/ˈl(j)uːdɪkrəs/,,
articulate,(생각감정을) 분명히 표현하다[설명하다],能表达清楚的，善于表达的；口齿伶俐的，有口才的,,/ɑːˈtɪkjʊlət/,,
incursion,급습,（尤指跨越边境的）侵入，侵犯,,/ɪnˈkəːʃ(ə)n/,,
vindictive,"앙심을 품은, 보복을 하려는",想复仇的；报复性的；怀恨在心的,,/vɪnˈdɪktɪv/,,
perfunctory,형식[의무/습관]적인,草率的；马虎的；敷衍的,,/pəˈfʌŋ(k)t(ə)ri/,,
allegory,"우화, 풍자",寓言；讽喻,,/ˈalɪɡ(ə)ri/,,
fiduciary,(자산) 신탁의,信托的；信用的,,/fɪˈdjuːʃ(ə)ri/,,
rebuke,"힐책[질책]하다, 꾸짖다",斥责；指责；训斥,,/rɪˈbjuːk/,,
sardonic,"가소롭다는 듯한, 냉소적인, 조소하는",讥讽的，冷嘲的，轻蔑的,,/sɑːˈdɒnɪk/,,
agitate,(특히 법적·사회적 사항 등의 변경을 강력히) 주장하다[요구하다],使焦虑；使躁动不安,,/ˈadʒɪteɪt/,,
platitude,진부한 이야기[의견],陈腔滥调；老生常谈,,/ˈplatɪtjuːd/,,
rue,후회하다,对…感到懊悔；对…感到后悔；因为…感到遗憾,,/ruː/,,
feigned,"거짓의, 허위의; 꾸민",假装，装作，佯装(有某种感觉或生病、疲倦等),,/feɪnd/,,
dilettante,"딜레탕트, 호사가",一知半解者；半吊子；业余爱好者,,/ˌdɪlɪˈtanteɪ/,,
lackadaisical,"부주의한, 태만한",无精打采的，萎靡不振的，不热心的,,/ˌlakəˈdeɪzɪk(ə)l/,,
forfend,"막다, 방지하다",防止;阻止;挡住;挡开,,/fɔːˈfɛnd/,,
deficient,(필수적인 것이) 부족한[결핍된],缺乏的，缺少的,,/dɪˈfɪʃ(ə)nt/,,
novitiate,수사[수녀] 수련 기간,(修士或修女的)初学期,,/nə(ʊ)ˈvɪʃɪət/,,
hemistich,"(고대 영시의) 반행(半行), 불완전행(行)",半行;半行诗;诗的半句;不完全的诗行,,/ˈhɛmɪstɪk/,,
ancillary,보조적인,辅助的，补充的；附属的，附加的,,/anˈsɪləri/,,
refuge,"피난(처), 피신(처), 도피(처)",避难（所）；庇护（所）；慰藉,,/ˈrɛfjuːdʒ/,,
waver,"약하다, 약해지다, (불안정하게) 흔들리다[떨리다]",（尤指暂时地）动摇,,/ˈweɪvə/,,
lavatory,변기; 화장실,厕所，卫生间,,/ˈlavət(ə)ri/,,
forestall,미연에 방지하다,预先阻止；先发制人,,/fɔːˈstɔːl/,,
archenemy,"최대의 적, 대적(大敵); (때로 the archenemy) 사탄(Satan), 마왕, 악마(Devil).",大敌;魔王;头号敌人;死敌;主要敌人,,/ˌärCHˈenəmē/,,
ephemeral,"수명이 짧은, 단명하는",短暂的，极短的；转瞬即逝的,,/ɪˈfɛm(ə)r(ə)l/,,
apostasy,"[UC] 배교(背敎), 배신(背信); 변절, 탈당",叛教；变节；脱党,,/əˈpɒstəsi/,,
iconology,도상학,(艺术上的)象征手法,,/ˌʌɪkəˈnɒlədʒi/,,
autocrat,"전제 군주, 독재자",独裁者；专制者；独断专行的人；专横的人,,/ˈɔːtəkrat/,,
progeny,(사람·동식물의) 자손,（人或动植物的）后代，后裔,,/ˈprɒdʒəni/,,
rancor,"[UC] (깊은) 원한, 유감; 적의, 악의; 증오",敌意;深仇大恨;兰克;仇视;怨恨,,/ˈraNGkər/,,
palliate,(병을 치료하지는 않고) 증상만 완화시키다,减轻负面影响,,/ˈpalɪeɪt/,,
avaricious,"탐욕스러운, 욕심 많은(greedy)",贪财的;贪婪的;贪心的,记忆技巧：avaric〔e〕贪心 + ious …的 → 贪婪的，贪心的,/avəˈrɪʃəs/,,
dexter,오른쪽의,右侧的；幸运的,,/ˈdɛkstə/,,
reimburse,배상[변제]하다,偿还；付还；补偿,,/ˌriːɪmˈbəːs/,,
atrophy,(혈액 부족으로 인한 신체 부위의) 위축(증),（身体部位）萎缩；衰退,,/ˈatrəfi/,,
hapless,"불운한, 불행한",不幸运的；不愉快的,,/ˈhapləs/,,
pertinent,(특정한 상황에) 적절한[관련 있는],有关的，直接相关的,,/ˈpəːtɪnənt/,,
incision,(특히 외과 수술 중의) 절개,（尤指手术的）切口,,/ɪnˈsɪʒ(ə)n/,,
trenchant,정곡을 찌르는,（批评或意见）尖锐的，尖刻的，犀利的,,/ˈtrɛn(t)ʃ(ə)nt/,,
raucous,"요란하고 거친, 시끌벅적한",（声音）刺耳的，尖厉的,,/ˈrɔːkəs/,,
​​agnostic,불가지론자,不可知论者; 不可知论的,,/aɡˈnɒstɪk/,,
incumbent,(공적인 직위의) 재임자,现任的；在职的,,/ɪnˈkʌmb(ə)nt/,,
credo,신조,信条；信念；教义,,/ˈkriːdəʊ/,,
equivocate,"얼버무리다, 모호하게 말하다",（尤指为隐瞒真相而）说模棱两可的话，含糊其词,,/ɪˈkwɪvəkeɪt/,,
fallacious,"잘못된, 틀린",错误的，谬误的,,/fəˈleɪʃəs/,,
refractory,"다루기 힘든, (행실이) 불량한",不应的，难治的,,/rɪˈfrakt(ə)ri/,,
foreshadow,"전조가 되다, 조짐을 나타내다",是…的预兆，预示,,/fɔːˈʃadəʊ/,,
herbivorous,초식성(草食性)의(cf. CARNIVOROUS),食草的,记忆技巧：herbi〔= herb 草〕+ vor 吃 + ous 有…性质的，关于…的 → 食草的,/həːˈbɪv(ə)rəs/,,
unctuous,(말·행동이) 번지르르한,谄媚的；虚情假意的,,/ˈʌŋ(k)tjʊəs/,,
ignominy,"불명예, 수치",耻辱，侮辱,,/ˈɪɡnəmɪni/,,
opaque,불투명한,不透明的；不透光的,,/ə(ʊ)ˈpeɪk/,,
belligerent,"적대적인, 공격적인",好斗的；挑衅的,,/bəˈlɪdʒ(ə)r(ə)nt/,,
alias,"…라는 가명으로 알려진, 일명 …라 불리는",又名，亦名；化名为,,/ˈeɪlɪəs/,,
equanimity,"(특히 힘든 상황에서의) 침착, 평정",（尤指处于震惊、失望或困境时的）镇静，沉着，冷静,,/ˌɛkwəˈnɪmɪti/,,
labyrinth,미로,迷宫；曲径,,/ˈlab(ə)rɪnθ/,,
perhaps,"아마, 어쩌면",或许，可能,,/pəˈhaps/,,
apostle,사도(예수 열두 제자 중 한 사람),（信仰或政治运动的）宣导者，鼓吹者，先驱,,/əˈpɒs(ə)l/,,
affix,"부착하다, 붙이다",使固定；附上；黏上；贴上,,/əˈfɪks/,,
precipice,벼랑,悬崖，峭壁,,/ˈprɛsɪpɪs/,,
microcosm,"소우주, (더 큰 것의) 축소판",缩影；微观世界,,/ˈmʌɪkrə(ʊ)kɒz(ə)m/,,
affidavit,선서 진술서,（法庭上作证用的）书面证词,,/ˌafɪˈdeɪvɪt/,,
chronometer,크로노미터(특히 항해 때 쓰는 정밀 시계),精密时计,,/krəˈnɒmɪtə/,,
susceptible,민감한,易受影响的，易受伤害的,,/səˈsɛptɪb(ə)l/,,
hector,위협하다,威吓,,/ˈhɛktə/,,
redress,(부당하거나 잘못된 것을) 바로잡다[시정하다],纠正，矫正；补偿，向…赔偿损失,,/rɪˈdrɛs/,,
proliferate,"급증하다, (빠르게) 확산되다",激增,,/prəˈlɪfəreɪt/,,
denounce,맹렬히 비난하다,（公开）谴责，痛斥,,/dɪˈnaʊns/,,
harangue,장광설을 늘어놓다,长篇大论地演说；斥责,,/həˈraŋ/,,
truculent,"반항적인, 약간 공격적인",易怒的；好斗的；寻衅的,,/ˈtrʌkjʊl(ə)nt/,,
synchronize,동시에 발생하다[움직이다]; 동시에 발생하게[움직이게] 하다,（使）同步，（使）同时发生,,/ˈsɪŋkrənʌɪz/,,
euphonious,듣기 좋은,悦耳的，动听的,,/juːˈfəʊnɪəs/,,
aspersion,"비난, 비방, 중상",中伤，诽谤;喷绕法；喷洒法,记忆技巧：a 加强 + spers 散开 + ion 表名词 → 诽谤,/əˈspəːʃ(ə)n/,,
rebel,반역자,（试图武装推翻国家政治制度的）反抗者，造反者,,/ˈrɛb(ə)l/,,
insidious,서서히[은밀히] 퍼지는,暗中为害的；潜伏的,,/ɪnˈsɪdɪəs/,,
languid,(움직임이) 힘없는[느릿느릿한]; 나른한,慢悠悠的，悠闲自在的,,/ˈlaŋɡwɪd/,,
cascade,작은 폭포,小瀑布（常指瀑布群的分支）,,/kasˈkeɪd/,,
abash,[보통 수동형으로] 무안하게 하다; 당황하게 하다,使惭愧；使羞愧；使困窘；使局促不安,,/əˈbaʃ/,,
holocaust,(특히 전쟁·화재로 인한) 대참사[대파괴],大屠杀，大毁灭，浩劫,,/ˈhɒləkɔːst/,,
expiate,속죄하다,赎（罪）；补偿；弥补,,/ˈɛkspɪeɪt/,,
whim,"(일시적인) 기분, 변덕",突然的念头，冲动,,/wɪm/,,
bewilder,어리둥절하게[혼란스럽게] 만들다,使迷惑，使糊涂；难住,,/bɪˈwɪldə/,,
defamation,"중상, 명예 훼손",诬蔑;诽谤;中伤,,/ˌdɛfəˈmeɪʃ(ə)n/,,
contradict,"(어떤 사람의 말을) 부정[부인]하다, 반박하다",反驳，否定；（事实或声明）（与…）相矛盾，（与…）有抵触,,/kɒntrəˈdɪkt/,,
minatory,"협박하는, 위협적인",威胁的;恐吓的,,/ˈmɪnəˌt(ə)ri/,,
acerbic,"가혹한, 신랄한",尖刻的；辛辣的,,/əˈsəːbɪk/,,
acquit,무죄를 선고하다,宣判…无罪,,/əˈkwɪt/,,
hinder,"저해[방해]하다, …을 못하게 하다",阻碍，妨碍,,/ˈhɪndə/,,
chromosome,염색체,染色体,,/ˈkrəʊməsəʊm/,,
condign,적절한,适当的;应得的,,/kənˈdʌɪn/,,
rejoinder,"응수, 답변",回答；反驳,,/rɪˈdʒɔɪndə/,,
intersperse,(…속에·사이에) 배치하다,无规律地混入；散布；点缀,,/ɪntəˈspəːs/,,
teeter,(넘어질 듯이) 불안정하게 서다[움직이다],摇晃，摇摇欲坠；蹒跚行走,,/ˈtiːtə/,,
pulchritudinous,몸매[외모]가 아름다운,漂亮;美丽的;美貌的,,/ˌpʌlkrɪˈtʃuːdɪnəs/,,
facetious,"경박한, 까부는",（尤指不问场合）好开玩笑的；滑稽的，诙谐的,,/fəˈsiːʃəs/,,
adroit,(특히 대인 관계에서) 노련한,精明的；干练的；机敏的；灵巧的,,/əˈdrɔɪt/,,
terse,(예의에 어긋날 정도로) 간결한[간단한],简短生硬的；简要的,,/təːs/,,
confide,(비밀을) 털어놓다,吐露，倾诉（秘密）,,/kənˈfʌɪd/,,
authoritarian,"권위주의적인, 독재적인",独裁的；专制的,,/ɔːˌθɒrɪˈtɛːrɪən/,,
deluge,"폭우, 호우",暴雨；洪水,,/ˈdɛljuːdʒ/,,
millennium,(특히 예수 탄생을 기준으로 그 전후의) 천년,一千年，千周年；千周年纪念日,,/mɪˈlɛnɪəm/,,
anecdote,일화,（尤指关于某人的）趣闻，轶事,,/ˈanɪkdəʊt/,,
annuity,연금,（通常指一直付到某人死亡的）年金；年金保险；年金保险投资,,/əˈnjuːɪti/,,
cogent,설득력 있는,（论据或理由）令人信服的，有说服力的，强而有力的,,/ˈkəʊdʒ(ə)nt/,,
zeal,"열의, 열성",热忱，热情；激情,,/ziːl/,,
engaging,"호감이 가는, 매력적인",令人愉快的；有吸引力的；迷人的,,/ɪnˈɡeɪdʒɪŋ/,,
egress,"떠남, 나감",出，外出；出口，出路,,/ˈiːɡrɛs/,,
legible,"읽을[알아볼] 수 있는, 또렷한",（笔迹或字体）清晰的，易读的，清楚的,,/ˈlɛdʒɪb(ə)l/,,
hegemonic,"지배하는, 패권을 장악한",霸权的；统治的,,/ˌhɛdʒɪˈmɒnɪk/,,
verbose,장황한,啰嗦的；冗长的，累赘的,,/vəːˈbəʊs/,,
ingratiate,환심을 사다,讨好;巴结;迎合,记忆技巧：in 使… + grat 令人高兴的；高雅 + iate 做 → 使高兴 → 讨好,/ɪnˈɡreɪʃɪeɪt/,,
meander,구불구불하다,（河流、道路等）蜿蜒，迂回曲折,,/mɪˈandə/,,
prodigal,(돈·시간·에너지·물자를) 낭비하는,非常浪费的，奢侈的,,/ˈprɒdɪɡ(ə)l/,,
cautery,[U] [의학] 소작(법); 뜸술; [C] 소작제; 소작기,烧灼术；烙术；灸;腐蚀剂；烙器,,/ˈkɔːt(ə)ri/,,
indelible,잊을[지울] 수 없는,洗不掉的；无法去除的,,/ɪnˈdɛlɪb(ə)l/,,
inscrutable,(사람·표정이) 불가해한[헤아리기 어려운],（尤指人或其表情）高深莫测的，难以捉摸的,,/ɪnˈskruːtəb(ə)l/,,
beneficent,"도움을 주는, 선을 베푸는; 친절한",行善的；慈善的,,/bɪˈnɛfɪs(ə)nt/,,
caustic,"가성의, 부식성의",苛性的，腐蚀性的,,/ˈkɔːstɪk/,,
volatile,변덕스러운,不稳定的；易变的；易怒的，喜怒无常的,,/ˈvɒlətʌɪl/,,
androgen,"안드로겐, 남성호르몬",雌雄同体的;兼具两性的,,/ˈandrədʒ(ə)n/,,
androgynous,양성(兩性)의 특징을 가진; 중성 같은,没有明显性别区分的；男女不分的；兼有两性特征的,,/anˈdrɒdʒɪnəs/,,
euphony,"듣기 좋은 음조(opp. cacophony); [언어] 활(滑)음조, 음운 변화",和谐的声音，悦耳之音,记忆技巧：eu 好 + phon 声音，嗓音；讲话 + y 表名词 → 好听的声音,/ˈjuːf(ə)ni/,,
rejuvenate,"다시 젊어 보이게[젊은 기분이 들게] 하다, 활기를 되찾게 하다",使年轻；使恢复活力；使青春焕发,,/rɪˈdʒuːvəneɪt/,,
obloquy,악평,公开的严厉批评（或责骂）,,/ˈɒbləkwi/,,
disclaim,"(무엇에 대해 모르거나 책임이 없다고) 말하다, (책임 등을) 부인하다",声明拒绝承担（责任）；否认,,/dɪsˈkleɪm/,,
bemoan,한탄하다,抱怨；悲叹,,/bɪˈməʊn/,,
disburse,(특정 목적을 위해 모은 돈에서) 지출하다,拨（款）；拿出（一部分资金）,,/dɪsˈbəːs/,,
preponderance,(수적으로) 우세함[더 많음],优势；多数,,/prɪˈpɒnd(ə)r(ə)ns/,,
tendentious,"과격한, 극단적인",（演讲或文章）有强烈倾向的；有偏见的,,/tɛnˈdɛnʃəs/,,
plethora,"과다, 과잉",过多，过剩,,/ˈplɛθ(ə)rə/,,
dissipated,방탕한,放荡的，花天酒地的,,/ˈdɪsɪpeɪtɪd/,,
myriad,"무수함, 무수히 많음",无数，极大数量,记忆技巧：myri 一万，无数 + ad 表状态 → 无数（的）,/ˈmɪrɪəd/,,
bleak,"암울한, 절망적인",（地方）荒凉的；凄凉的,,/bliːk/,,
amiable,"쾌활한, 정감 있는",和蔼可亲的，亲切的；令人愉悦的；友好的,,/ˈeɪmɪəb(ə)l/,,
proclivity,(흔히 좋지 못한) 성향,癖性；（尤指坏的）倾向,,/prəˈklɪvɪti/,,
oscillate,(감정·행동이 양극을) 계속 오가다,来回摆动；震动；震荡,,/ˈɒsɪleɪt/,,
facsimile,"복제, 복사",（尤指文件的）摹本，复制本,,/fakˈsɪmɪli/,,
affable,"상냥한, 사근사근한",和蔼可亲的；友善的；容易交谈的,,/ˈafəb(ə)l/,,
conciliate,"달래다, 회유하다",安抚；抚慰；调停；和解,,/kənˈsɪlɪeɪt/,,
effluence,"(광선·전기·액체 등의) 내뿜음, 발산, 방출, 흘러나옴(outflow)",发（射，流）出；流出物；射出物,记忆技巧：ef 出，外 + flu 流 + ence 表行为 → 流出,/ˈɛflʊəns/,,
culprit,범인,过失者；责任人,,/ˈkʌlprɪt/,,
defile,(신성하거나 중요한 것을) 더럽히다,玷污，亵渎，糟蹋,,/dɪˈfʌɪl/,,
graphite,"그래파이트, 흑연",石墨,,/ˈɡrafʌɪt/,,
circumlocution,에둘러[우회적으로] 말하기,（尤指对不好的事情的）迂回曲折的说法；婉转语，遁词,,/ˌsəːkəmləˈkjuːʃ(ə)n/,,
monarchy,군주제,君主国,,/ˈmɒnəki/,,
dignitary,고위 관리,要人，显要人物，要员,,/ˈdɪɡnɪt(ə)ri/,,
dystrophy,영양 실조[장애],营养障碍性疾病,记忆技巧：dys 不良 + troph 营养 + y 表情况 → 营养不良,/ˈdɪstrəfi/,,
distaff,(손으로 양털을 자을 때 쓰던) 실패,(旧时手工纺纱用的)纺纱杆，绕线杆,,/ˈdɪstɑːf/,,
torpid,"무기력한, 활기[열의] 없는",不活泼的；（尤指因懒惰或困倦）迟钝的，呆滞的,,/ˈtɔːpɪd/,,
decadence,"타락, 퇴폐",堕落，颓废，腐朽,,/ˈdɛkəd(ə)ns/,,
impetuous,"성급한, 충동적인",冲动的，鲁莽的,,/ɪmˈpɛtjʊəs/,,
copious,"엄청난 (양의), 방대한",大量的，丰富的；过量的,,/ˈkəʊpɪəs/,,
juvenilia,(작가·화가의) 젊은 시절 작품,（艺术家成名之后出版或被发现的）少年时期作品,,/ˌdʒuːvəˈnɪlɪə/,,
equity,(한 회사의) 자기 자본; (자산의) 순수 가치,（公司的）股本，股票值；股票,,/ˈɛkwɪti/,,
ascetic,금욕적인,（常指因宗教原因）苦行的，禁欲的，过清苦生活的,,/əˈsɛtɪk/,,
junction,"(도로·선로의) 교차로, 나들목",联结点；枢纽；（公路的）交叉口；（铁路）联络车站,,/ˈdʒʌŋ(k)ʃ(ə)n/,,
syllabus,교수요목,教学大纲，课程大纲,,/ˈsɪləbəs/,,
lexicographer,사전 편찬자,词典编纂者,,/ˌlɛksɪˈkɒɡrəfə/,,
salacious,"외설스러운, 음란한",淫秽的；好色的；淫荡的,,/səˈleɪʃəs/,,
credulity,쉽게[잘] 믿음,轻信,,/krɪˈdjuːlɪti/,,
belle,미인; (특정한 장소의) 최고 미인,美人,,/bɛl/,,
noisome,(극도로) 역겨운[고약한],极令人不快的；令人厌恶的,,/ˈnɔɪs(ə)m/,,
obstinate,"고집 센, 완강한",顽固的，固执的；倔强的,,/ˈɒbstɪnət/,,
courier,운반[배달]원; 택배 회사,（递送重要书信或文件的）信差 ，递送员,,/ˈkʊrɪə/,,
referendum,"국민 투표, 총선거",（就重大政治或社会问题进行的）全民公决，全民公投,,/ˌrɛfəˈrɛndəm/,,
pardon,뭐라고요(상대방의 말을 알아듣지 못했을 때 다시 말해 달라는 뜻으로 하는 말),原谅，宽恕（常用于礼貌的表达方式）,,/ˈpɑːd(ə)n/,,
collide,"충돌하다, 부딪치다",（尤指移动的物体）相撞，碰撞,,/kəˈlʌɪd/,,
incandescent,백열성의,白炽的，白热的,,/ɪnkanˈdɛs(ə)nt/,,
vouch,<사물이> <…의 진실성[확실성·신뢰성]을> 보증[보장]하다 ((for)),担保；证明；作证,,/vaʊtʃ/,,
hyperglycemia,고(高)[과(過)]혈당(증).,血糖过多（症）；高血糖（症）,,/ˌhīpərɡlīˈsēmēə/,,
deflect,(특히 무엇에 맞고 난 뒤) 방향을 바꾸다[바꾸게 하다],（使）转向，（使）偏斜,,/dɪˈflɛkt/,,
subaqueous,"물속에 있는, 수중(용)의, 수중에서 일어나는",水下;水下的;水中的,记忆技巧：sub 下 + aqu 水 + e + ous …的 → 水下的,/sʌbˈeɪkwɪəs/,,
candid,솔직한,（尤指对棘手或令人痛苦之事）率直的，坦诚的，直言不讳的,,/ˈkandɪd/,,
abstruse,난해한,难解的；深奥的,,/əbˈstruːs/,,
curtail,축소[삭감/단축]시키다,制止；减少；缩减；限制,,/kəːˈteɪl/,,
chronology,연대순; 연대표,按事件发生的年代排列的顺序；（大事）年表,,/krəˈnɒlədʒi/,,
countermand,(특히 다른 주문을 함으로써 앞의 주문을) 철회하다,取消，撤回（命令）；重新发布（命令）,,/ˌkaʊntəˈmɑːnd/,,
deviate,(일상·예상 등을) 벗어나다,背离;偏离;违背,记忆技巧：de 离开 + vi 道路 + ate 使… → 使偏离道路 → 越轨,/ˈdiːvɪeɪt/,,
opprobrium,(대중의) 맹비난,谴责；抨击；讨伐；责难,,/əˈprəʊbrɪəm/,,
occlude,(…을) 가리다[막다],使…阻塞,,/əˈkluːd/,,
obviate,(문제·필요성을) 제거[배제]하다,排除，消除；使无必要,,/ˈɒbvɪeɪt/,,
wraith,(사람의 사망 직전·직후에 나타나는) 유령,鬼魂；幽灵,,/reɪθ/,,
anthology,"(시)선집, 문집",（艺术作品的）选集；（常指）精选集,,/anˈθɒlədʒi/,,
confiscatory,몰수[압수]의; <세금 등을> 심하게 징수하는; 몰수와 마찬가지의,没收的；征用的；充公的,,/kənˈfɪskət(ə)ri/,,
antediluvian,아주 구식인,早已过时的，十分老式的,,/ˌantɪdɪˈluːvɪən/,,
jocose,"익살스러운, 유머러스한",滑稽的；幽默的；诙谐的,,/dʒəˈkəʊs/,,
munificent,대단히 후한,慷慨的，大方的,,/mjʊˈnɪfɪs(ə)nt/,,
influx,(많은 사람·자금·물건이) 밀어닥침[밀려듦],(人、资金或事物的)涌入，流入,记忆技巧：in 进入 + flux 流动 → 流入 → 涌入,/ˈɪnflʌks/,,
kismet,"숙명, 운명",命运;天命,,/ˈkɪzmɛt/,,
exalt,(때로는 자격이 없는 사람을) 승격[격상]시키다,晋升；提拔,,/ɪɡˈzɔːlt/,,
epidermis,(피부의) 표피[상피],表皮,,/ˌɛpɪˈdəːmɪs/,,
timorous,겁이 많은,羞怯的；胆小的，胆怯的,,/ˈtɪm(ə)rəs/,,
remission,(병의) 차도,（疾病的）缓解期，减轻期,,/rɪˈmɪʃ(ə)n/,,
pernicious,치명적인(특히 그 영향이 서서히 알아차리기 힘들게 진행되는 경우),极其有害的；恶性的；恶劣的,,/pəˈnɪʃəs/,,
exculpate,무죄를 입증[선언]하다,为…开脱；证明…无罪,,/ˈɛkskʌlpeɪt/,,
diurnal,주행성의,在一天内发生的；白天发生的；昼行性的,,/dʌɪˈəːn(ə)l/,,
