word,ko,zh,pron_us,pron_uk
unrivaled,"경쟁자[상대]가 없는, 무적의, 무쌍의, 비할 데 없는",,,
serendipity,뜻밖의 재미[기쁨],（偶然發現有趣或珍貴之物的）機緣，幸運,ˌser.ənˈdɪp.ə.ti,ˌser.ənˈdɪp.ə.ti
cursive,필기체인,草書的；連筆的,ˈkɜː.sɪv,ˈkɜː.sɪv
exhume,(특히 검시를 위해 시체를) 파내다[발굴하다],（從墳墓中）掘出（屍體）,eksˈhjuːm,eksˈhjuːm
talisman,(행운을 가져다준다고 여겨지는) 부적(符籍),護身符；避邪物,ˈtæl.ɪz.mən,ˈtæl.ɪz.mən
inane,어리석은; 무의미한,極其愚蠢的；無意義的；無聊的,ɪˈneɪn,ɪˈneɪn
concentric,"중심이 같은, 동심원의",（指圓）同心的,kənˈsen.trɪk,kənˈsen.trɪk
abatement,"감소, 감퇴; 경감, 완화; (가격·세 등의) 경감액",,,
anathema,"절대 반대(하는 것), 아주 싫은 것",令人討厭的事物,əˈnæθ.ə.mə,əˈnæθ.ə.mə
acclaim,"칭송하다, 환호를 보내다",（公開的）稱譽；讚賞；歡迎,əˈkleɪm,əˈkleɪm
flagrant,"노골적인, 명백한",駭人聽聞的；公然的；罪惡昭彰的,ˈfleɪ.ɡrənt,ˈfleɪ.ɡrənt
chicanery,교묘한 속임수,詭辯；詭計；欺詐,ʃɪˈkeɪ.nər.i,ʃɪˈkeɪ.nər.i
depraved,(도덕적으로) 타락한[부패한],道德敗壞的，墮落的，惡毒的,dɪˈpreɪvd,dɪˈpreɪvd
hike,"하이킹, (장거리) 도보 여행",（尤指鄉間的）遠足，長途健行,haɪk,haɪk
distaste,"불쾌감, 혐오감",厭惡，討厭，不喜歡,dɪsˈteɪst,dɪsˈteɪst
peruse,숙독[정독]하다,隨便翻閱；瀏覽,pəˈruːz,pəˈruːz
fusillade,연속 사격; 빗발치는 것,（子彈的）齊射，連發,ˌfjuː.zɪˈleɪd,ˌfjuː.zɪˈleɪd
riposte,(특히 비판에 대한 기지 있는) 응수[반격],機敏的回答；巧妙的應對,rɪˈpɒst,rɪˈpɒst
conjecture,추측(한 내용),推測；猜測；猜想；臆斷,kənˈdʒek.tʃər,kənˈdʒek.tʃər
mercurial,변덕스러운,多變的，反覆無常的,mɜːˈkjʊə.ri.əl,mɜːˈkjʊə.ri.əl
acumen,(일에 대한) 감각,敏銳；精明,ˈæk.jə.mən,ˈæk.jə.mən
fallacy,(많은 사람들이 옳다고 믿는) 틀린 생각,謬見，謬論，謬誤,ˈfæl.ə.si,ˈfæl.ə.si
intransigent,"고집스러운, 비협조적인",固執的，不妥協的，不讓步的,ɪnˈtræn.sɪ.dʒənt,ɪnˈtræn.sɪ.dʒənt
ludicrous,터무니없는,愚蠢可笑的；荒謬的,ˈluː.dɪ.krəs,ˈluː.dɪ.krəs
articulate,(생각감정을) 분명히 표현하다[설명하다],能表達清楚的，善於表達的；口齒伶俐的，有口才的,ɑːˈtɪk.jə.lət,ɑːˈtɪk.jə.lət
incursion,급습,（尤指跨越邊境的）侵入，侵犯,ɪnˈkɜː.ʒən,ɪnˈkɜː.ʒən
vindictive,"앙심을 품은, 보복을 하려는",想復仇的；報復性的；懷恨在心的,vɪnˈdɪk.tɪv,vɪnˈdɪk.tɪv
perfunctory,형식[의무/습관]적인,草率的；馬虎的；敷衍的,pəˈfʌŋk.tər.i,pəˈfʌŋk.tər.i
allegory,"우화, 풍자",寓言；諷喻,ˈæl.ə.ɡə.ri,ˈæl.ə.ɡə.ri
fiduciary,(자산) 신탁의,信託的；信用的,fɪˈdʒuː.ʃi.ə.ri,fɪˈdʒuː.ʃi.ə.ri
rebuke,"힐책[질책]하다, 꾸짖다",斥責；指責；訓斥,rɪˈbjuːk,rɪˈbjuːk
sardonic,"가소롭다는 듯한, 냉소적인, 조소하는",譏諷的，冷嘲的，輕蔑的,sɑːˈdɒn.ɪk,sɑːˈdɒn.ɪk
agitate,(특히 법적·사회적 사항 등의 변경을 강력히) 주장하다[요구하다],使焦慮；使躁動不安,ˈædʒ.ɪ.teɪt,ˈædʒ.ɪ.teɪt
platitude,진부한 이야기[의견],陳腔濫調；老生常談,ˈplæt.ɪ.tjuːd,ˈplæt.ɪ.tjuːd
rue,후회하다,對…感到懊悔；對…感到後悔；因為…感到遺憾,ruː,ruː
feigned,"거짓의, 허위의; 꾸민",,,
dilettante,"딜레탕트, 호사가",一知半解者；半吊子；業餘愛好者,ˌdɪl.əˈtæn.ti,ˌdɪl.əˈtæn.ti
lackadaisical,"부주의한, 태만한",無精打采的，萎靡不振的，不熱心的,ˌlæk.əˈdeɪ.zɪ.kəl,ˌlæk.əˈdeɪ.zɪ.kəl
forfend,"막다, 방지하다",,,
deficient,(필수적인 것이) 부족한[결핍된],缺乏的，缺少的,dɪˈfɪʃ.ənt,dɪˈfɪʃ.ənt
novitiate,수사[수녀] 수련 기간,,,
hemistich,"(고대 영시의) 반행(半行), 불완전행(行)",,,
ancillary,보조적인,輔助的，補充的；附屬的，附加的,ænˈsɪl.ər.i,ænˈsɪl.ər.i
refuge,"피난(처), 피신(처), 도피(처)",避難（所）；庇護（所）；慰藉,ˈref.juːdʒ,ˈref.juːdʒ
waver,"약하다, 약해지다, (불안정하게) 흔들리다[떨리다]",（尤指暫時地）動搖,ˈweɪ.vər,ˈweɪ.vər
lavatory,변기; 화장실,廁所，衛生間,ˈlæv.ə.tər.i,ˈlæv.ə.tər.i
forestall,미연에 방지하다,預先阻止；先發制人,fɔːˈstɔːl,fɔːˈstɔːl
archenemy,"최대의 적, 대적(大敵); (때로 the archenemy) 사탄(Satan), 마왕, 악마(Devil).",,,
ephemeral,"수명이 짧은, 단명하는",短暫的，極短的；轉瞬即逝的,ɪˈfem.ər.əl,ɪˈfem.ər.əl
apostasy,"[UC] 배교(背敎), 배신(背信); 변절, 탈당",叛教；變節；脫黨,əˈpɒs.tə.si,əˈpɒs.tə.si
iconology,도상학,,,
autocrat,"전제 군주, 독재자",獨裁者；專制者；獨斷專行的人；專橫的人,ˈɔː.tə.kræt,ˈɔː.tə.kræt
progeny,(사람·동식물의) 자손,（人或動植物的）後代，後裔,ˈprɒdʒ.ə.ni,ˈprɒdʒ.ə.ni
rancor,"[UC] (깊은) 원한, 유감; 적의, 악의; 증오",,,
palliate,(병을 치료하지는 않고) 증상만 완화시키다,減輕負面影響,ˈpæl.i.eɪt,ˈpæl.i.eɪt
avaricious,"탐욕스러운, 욕심 많은(greedy)",,,
dexter,오른쪽의,,,
reimburse,배상[변제]하다,償還；付還；補償,ˌriː.ɪmˈbɜːs,ˌriː.ɪmˈbɜːs
atrophy,(혈액 부족으로 인한 신체 부위의) 위축(증),（身體部位）萎縮；衰退,ˈæt.rə.fi,ˈæt.rə.fi
hapless,"불운한, 불행한",不幸運的；不愉快的,ˈhæp.ləs,ˈhæp.ləs
pertinent,(특정한 상황에) 적절한[관련 있는],有關的，直接相關的,ˈpɜː.tɪ.nənt,ˈpɜː.tɪ.nənt
incision,(특히 외과 수술 중의) 절개,（尤指手術的）切口,ɪnˈsɪʒ.ən,ɪnˈsɪʒ.ən
trenchant,정곡을 찌르는,（批評或意見）尖銳的，尖刻的，犀利的,ˈtren.tʃənt,ˈtren.tʃənt
raucous,"요란하고 거친, 시끌벅적한",（聲音）刺耳的，尖厲的,ˈrɔː.kəs,ˈrɔː.kəs
​​agnostic,불가지론자,,,
incumbent,(공적인 직위의) 재임자,現任的；在職的,ɪnˈkʌm.bənt,ɪnˈkʌm.bənt
credo,신조,信條；信念；教義,ˈkreɪ.dəʊ,ˈkreɪ.dəʊ
equivocate,"얼버무리다, 모호하게 말하다",（尤指爲隱瞞真相而）說模稜兩可的話，含糊其詞,ɪˈkwɪv.ə.keɪt,ɪˈkwɪv.ə.keɪt
fallacious,"잘못된, 틀린",錯誤的，謬誤的,fəˈleɪ.ʃəs,fəˈleɪ.ʃəs
refractory,"다루기 힘든, (행실이) 불량한",不應的，難治的,rɪˈfræk.tər.i,rɪˈfræk.tər.i
foreshadow,"전조가 되다, 조짐을 나타내다",是…的預兆，預示,fɔːˈʃæd.əʊ,fɔːˈʃæd.əʊ
herbivorous,초식성(草食性)의(cf. CARNIVOROUS),,,
unctuous,(말·행동이) 번지르르한,諂媚的；虛情假意的,ˈʌŋk.tʃu.əs,ˈʌŋk.tʃu.əs
ignominy,"불명예, 수치",恥辱，侮辱,ˈɪɡ.nə.mɪ.ni,ˈɪɡ.nə.mɪ.ni
opaque,불투명한,不透明的；不透光的,əʊˈpeɪk,əʊˈpeɪk
belligerent,"적대적인, 공격적인",好鬥的；挑釁的,bəˈlɪdʒ.ər.ənt,bəˈlɪdʒ.ər.ənt
alias,"…라는 가명으로 알려진, 일명 …라 불리는",又名，亦名；化名為,ˈeɪ.li.əs,ˈeɪ.li.əs
equanimity,"(특히 힘든 상황에서의) 침착, 평정",（尤指處於震驚、失望或困境時的）鎮靜，沈著，冷靜,ˌek.wəˈnɪm.ə.ti,ˌek.wəˈnɪm.ə.ti
labyrinth,미로,迷宮；曲徑,ˈlæb.ə.rɪnθ,ˈlæb.ə.rɪnθ
perhaps,"아마, 어쩌면",或許，可能,pəˈhæps,pəˈhæps
apostle,사도(예수 열두 제자 중 한 사람),（信仰或政治運動的）宣導者，鼓吹者，先驅,əˈpɒs.əl,əˈpɒs.əl
affix,"부착하다, 붙이다",使固定；附上；黏上；貼上,əˈfɪks,əˈfɪks
precipice,벼랑,懸崖，峭壁,ˈpres.ɪ.pɪs,ˈpres.ɪ.pɪs
microcosm,"소우주, (더 큰 것의) 축소판",縮影；微觀世界,ˈmaɪ.krəʊˌkɒz.əm,ˈmaɪ.krəʊˌkɒz.əm
affidavit,선서 진술서,（法庭上作證用的）書面證詞,ˌæf.əˈdeɪ.vɪt,ˌæf.əˈdeɪ.vɪt
chronometer,크로노미터(특히 항해 때 쓰는 정밀 시계),精密時計,krəˈnɒm.ɪ.tər,krəˈnɒm.ɪ.tər
susceptible,민감한,易受影響的，易受傷害的,səˈsep.tə.bəl,səˈsep.tə.bəl
hector,위협하다,威嚇,ˈhek.tər,ˈhek.tər
redress,(부당하거나 잘못된 것을) 바로잡다[시정하다],糾正，矯正；補償，向…賠償損失,rɪˈdres,rɪˈdres
proliferate,"급증하다, (빠르게) 확산되다",激增,prəˈlɪf.ər.eɪt,prəˈlɪf.ər.eɪt
denounce,맹렬히 비난하다,（公開）譴責，痛斥,dɪˈnaʊns,dɪˈnaʊns
harangue,장광설을 늘어놓다,長篇大論地演說；斥責,həˈræŋ,həˈræŋ
truculent,"반항적인, 약간 공격적인",易怒的；好鬥的；尋釁的,ˈtrʌk.jə.lənt,ˈtrʌk.jə.lənt
synchronize,동시에 발생하다[움직이다]; 동시에 발생하게[움직이게] 하다,（使）同步，（使）同時發生,ˈsɪŋ.krə.naɪz,ˈsɪŋ.krə.naɪz
euphonious,듣기 좋은,悅耳的，動聽的,juːˈfəʊ.ni.əs,juːˈfəʊ.ni.əs
aspersion,"비난, 비방, 중상",,,
rebel,반역자,（試圖武裝推翻國家政治制度的）反抗者，造反者,ˈreb.əl,ˈreb.əl
insidious,서서히[은밀히] 퍼지는,暗中為害的；潛伏的,ɪnˈsɪd.i.əs,ɪnˈsɪd.i.əs
languid,(움직임이) 힘없는[느릿느릿한]; 나른한,慢悠悠的，悠閒自在的,ˈlæŋ.ɡwɪd,ˈlæŋ.ɡwɪd
cascade,작은 폭포,小瀑布（常指瀑布群的分支）,kæsˈkeɪd,kæsˈkeɪd
abash,[보통 수동형으로] 무안하게 하다; 당황하게 하다,,,
holocaust,(특히 전쟁·화재로 인한) 대참사[대파괴],大屠殺，大毀滅，浩劫,ˈhɒl.ə.kɔːst,ˈhɒl.ə.kɔːst
expiate,속죄하다,贖（罪）；補償；彌補,ˈek.spi.eɪt,ˈek.spi.eɪt
whim,"(일시적인) 기분, 변덕",突然的念頭，衝動,wɪm,wɪm
bewilder,어리둥절하게[혼란스럽게] 만들다,使迷惑，使糊塗；難住,bɪˈwɪl.dər,bɪˈwɪl.dər
defamation,"중상, 명예 훼손",,,
contradict,"(어떤 사람의 말을) 부정[부인]하다, 반박하다",反駁，否定；（事實或聲明）（與…）相矛盾，（與…）有抵觸,ˌkɒn.trəˈdɪkt,ˌkɒn.trəˈdɪkt
minatory,"협박하는, 위협적인",,,
acerbic,"가혹한, 신랄한",尖刻的；辛辣的,əˈsɜː.bɪk,əˈsɜː.bɪk
acquit,무죄를 선고하다,宣判…無罪,əˈkwɪt,əˈkwɪt
hinder,"저해[방해]하다, …을 못하게 하다",阻礙，妨礙,ˈhɪn.dər,ˈhɪn.dər
chromosome,염색체,染色體,ˈkrəʊ.mə.səʊm,ˈkrəʊ.mə.səʊm
condign,적절한,,,
rejoinder,"응수, 답변",回答；反駁,rɪˈdʒɔɪn.dər,rɪˈdʒɔɪn.dər
intersperse,(…속에·사이에) 배치하다,無規律地混入；散佈；點綴,ˌɪn.təˈspɜːs,ˌɪn.təˈspɜːs
teeter,(넘어질 듯이) 불안정하게 서다[움직이다],搖晃，搖搖欲墜；蹣跚行走,ˈtiː.tər,ˈtiː.tər
pulchritudinous,몸매[외모]가 아름다운,,,
facetious,"경박한, 까부는",（尤指不問場合）好開玩笑的；滑稽的，詼諧的,fəˈsiː.ʃəs,fəˈsiː.ʃəs
adroit,(특히 대인 관계에서) 노련한,精明的；幹練的；機敏的；靈巧的,əˈdrɔɪt,əˈdrɔɪt
terse,(예의에 어긋날 정도로) 간결한[간단한],簡短生硬的；簡要的,tɜːs,tɜːs
confide,(비밀을) 털어놓다,吐露，傾訴（秘密）,kənˈfaɪd,kənˈfaɪd
authoritarian,"권위주의적인, 독재적인",獨裁的；專制的,ˌɔː.θɒr.ɪˈteə.ri.ən,ˌɔː.θɒr.ɪˈteə.ri.ən
deluge,"폭우, 호우",暴雨；洪水,ˈdel.juːdʒ,ˈdel.juːdʒ
millennium,(특히 예수 탄생을 기준으로 그 전후의) 천년,一千年，千周年；千周年紀念日,mɪˈlen.i.əm,mɪˈlen.i.əm
anecdote,일화,（尤指關於某人的）趣聞，軼事,ˈæn.ɪk.dəʊt,ˈæn.ɪk.dəʊt
annuity,연금,（通常指一直付到某人死亡的）年金；年金保險；年金保險投資,əˈnjuː.ə.ti,əˈnjuː.ə.ti
cogent,설득력 있는,（論據或理由）令人信服的，有說服力的，強而有力的,ˈkəʊ.dʒənt,ˈkəʊ.dʒənt
zeal,"열의, 열성",熱忱，熱情；激情,ziːl,ziːl
engaging,"호감이 가는, 매력적인",令人愉快的；有吸引力的；迷人的,ɪnˈɡeɪ.dʒɪŋ,ɪnˈɡeɪ.dʒɪŋ
egress,"떠남, 나감",出，外出；出口，出路,ˈiː.ɡres,ˈiː.ɡres
legible,"읽을[알아볼] 수 있는, 또렷한",（筆跡或字體）清晰的，易讀的，清楚的,ˈledʒ.ə.bəl,ˈledʒ.ə.bəl
hegemonic,"지배하는, 패권을 장악한",,,
verbose,장황한,囉嗦的；冗長的，累贅的,vɜːˈbəʊs,vɜːˈbəʊs
ingratiate,환심을 사다,,,
meander,구불구불하다,（河流、道路等）蜿蜒，迂迴曲折,miˈæn.dər,miˈæn.dər
prodigal,(돈·시간·에너지·물자를) 낭비하는,非常浪費的，奢侈的,ˈprɒd.ɪ.ɡəl,ˈprɒd.ɪ.ɡəl
cautery,[U] [의학] 소작(법); 뜸술; [C] 소작제; 소작기,,,
indelible,잊을[지울] 수 없는,洗不掉的；無法去除的,ɪnˈdel.ə.bəl,ɪnˈdel.ə.bəl
inscrutable,(사람·표정이) 불가해한[헤아리기 어려운],（尤指人或其表情）高深莫測的，難以捉摸的,ɪnˈskruː.tə.bəl,ɪnˈskruː.tə.bəl
beneficent,"도움을 주는, 선을 베푸는; 친절한",行善的；慈善的,bəˈnef.ɪ.sənt,bəˈnef.ɪ.sənt
caustic,"가성의, 부식성의",苛性的，腐蝕性的,ˈkɔː.stɪk,ˈkɔː.stɪk
volatile,변덕스러운,不穩定的；易變的；易怒的，喜怒無常的,ˈvɒl.ə.taɪl,ˈvɒl.ə.taɪl
androgen,"안드로겐, 남성호르몬",,,
androgynous,양성(兩性)의 특징을 가진; 중성 같은,沒有明顯性別區分的；男女不分的；兼有兩性特徵的,ænˈdrɒdʒ.ən.əs,ænˈdrɒdʒ.ən.əs
euphony,"듣기 좋은 음조(opp. cacophony); [언어] 활(滑)음조, 음운 변화",,,
rejuvenate,"다시 젊어 보이게[젊은 기분이 들게] 하다, 활기를 되찾게 하다",使年輕；使恢復活力；使青春煥發,rɪˈdʒuː.vən.eɪt,rɪˈdʒuː.vən.eɪt
obloquy,악평,公開的嚴厲批評（或責駡）,ˈɒb.lə.kwi ,ˈɒb.lə.kwi 
disclaim,"(무엇에 대해 모르거나 책임이 없다고) 말하다, (책임 등을) 부인하다",聲明拒絕承擔（責任）；否認,dɪˈskleɪm,dɪˈskleɪm
bemoan,한탄하다,抱怨；悲嘆,bɪˈməʊn,bɪˈməʊn
disburse,(특정 목적을 위해 모은 돈에서) 지출하다,撥（款）；拿出（一部分資金）,dɪsˈbɜːs,dɪsˈbɜːs
preponderance,(수적으로) 우세함[더 많음],優勢；多數,prɪˈpɒn.dər.əns,prɪˈpɒn.dər.əns
tendentious,"과격한, 극단적인",（演講或文章）有強烈傾向的；有偏見的,tenˈden.ʃəs,tenˈden.ʃəs
plethora,"과다, 과잉",過多，過剩,ˈpleθ.ər.ə,ˈpleθ.ər.ə
dissipated,방탕한,放蕩的，花天酒地的,ˈdɪs.ɪ.peɪ.tɪd,ˈdɪs.ɪ.peɪ.tɪd
myriad,"무수함, 무수히 많음",無數，極大數量,ˈmɪr.i.əd,ˈmɪr.i.əd
bleak,"암울한, 절망적인",（地方）荒涼的；淒涼的,bliːk,bliːk
amiable,"쾌활한, 정감 있는",和藹可親的，親切的；令人愉悅的；友好的,ˈeɪ.mi.ə.bəl,ˈeɪ.mi.ə.bəl
proclivity,(흔히 좋지 못한) 성향,癖性；（尤指壞的）傾向,prəˈklɪv.ə.ti,prəˈklɪv.ə.ti
oscillate,(감정·행동이 양극을) 계속 오가다,來回擺動；震動；震盪,ˈɒs.ɪ.leɪt,ˈɒs.ɪ.leɪt
facsimile,"복제, 복사",（尤指文件的）摹本，複製本,fækˈsɪm.əl.i,fækˈsɪm.əl.i
affable,"상냥한, 사근사근한",和藹可親的；友善的；容易交談的,ˈæf.ə.bəl,ˈæf.ə.bəl
conciliate,"달래다, 회유하다",安撫；撫慰；調停；和解,kənˈsɪl.i.eɪt,kənˈsɪl.i.eɪt
effluence,"(광선·전기·액체 등의) 내뿜음, 발산, 방출, 흘러나옴(outflow)",,,
culprit,범인,過失者；責任人,ˈkʌl.prɪt,ˈkʌl.prɪt
defile,(신성하거나 중요한 것을) 더럽히다,玷污，褻瀆，糟蹋,dɪˈfaɪl,dɪˈfaɪl
graphite,"그래파이트, 흑연",石墨,ˈɡræf.aɪt,ˈɡræf.aɪt
circumlocution,에둘러[우회적으로] 말하기,（尤指對不好的事情的）迂迴曲折的說法；婉轉語，遁詞,ˌsɜː.kəm.ləˈkjuː.ʃən,ˌsɜː.kəm.ləˈkjuː.ʃən
monarchy,군주제,君主國,ˈmɒn.ə.ki,ˈmɒn.ə.ki
dignitary,고위 관리,要人，顯要人物，要員,ˈdɪɡ.nɪ.tər.i,ˈdɪɡ.nɪ.tər.i
dystrophy,영양 실조[장애],,,
distaff,(손으로 양털을 자을 때 쓰던) 실패,,,
torpid,"무기력한, 활기[열의] 없는",不活潑的；（尤指因懶惰或睏倦）遲鈍的，呆滯的,ˈtɔː.pɪd,ˈtɔː.pɪd
decadence,"타락, 퇴폐",墮落，頹廢，腐朽,ˈdek.ə.dəns,ˈdek.ə.dəns
impetuous,"성급한, 충동적인",衝動的，魯莽的,ɪmˈpetʃ.u.əs,ɪmˈpetʃ.u.əs
copious,"엄청난 (양의), 방대한",大量的，豐富的；過量的,ˈkəʊ.pi.əs,ˈkəʊ.pi.əs
juvenilia,(작가·화가의) 젊은 시절 작품,（藝術家成名之後出版或被發現的）少年時期作品,ˌdʒuː.vəˈnɪl.i.ə,ˌdʒuː.vəˈnɪl.i.ə
equity,(한 회사의) 자기 자본; (자산의) 순수 가치,（公司的）股本，股票值；股票,ˈek.wɪ.ti,ˈek.wɪ.ti
ascetic,금욕적인,（常指因宗教原因）苦行的，禁慾的，過清苦生活的,əˈset.ɪk,əˈset.ɪk
junction,"(도로·선로의) 교차로, 나들목",聯結點；樞紐；（公路的）交叉口；（鐵路）聯絡車站,ˈdʒʌŋk.ʃən,ˈdʒʌŋk.ʃən
syllabus,교수요목,教學大綱，課程大綱,ˈsɪl.ə.bəs,ˈsɪl.ə.bəs
lexicographer,사전 편찬자,詞典編纂者,ˌlek.sɪˈkɒɡ.rə.fər,ˌlek.sɪˈkɒɡ.rə.fər
salacious,"외설스러운, 음란한",淫穢的；好色的；淫蕩的,səˈleɪ.ʃəs,səˈleɪ.ʃəs
credulity,쉽게[잘] 믿음,輕信,krəˈdʒuː.lə.ti,krəˈdʒuː.lə.ti
belle,미인; (특정한 장소의) 최고 미인,美人,bel,bel
noisome,(극도로) 역겨운[고약한],極令人不快的；令人厭惡的,ˈnɔɪ.səm,ˈnɔɪ.səm
obstinate,"고집 센, 완강한",頑固的，固執的；倔強的,ˈɒb.stɪ.nət,ˈɒb.stɪ.nət
courier,운반[배달]원; 택배 회사,（遞送重要書信或文件的）信差 ，遞送員,ˈkʊr.i.ər,ˈkʊr.i.ər
referendum,"국민 투표, 총선거",（就重大政治或社會問題進行的）全民公決，全民公投,ˌref.əˈren.dəm,ˌref.əˈren.dəm
pardon,뭐라고요(상대방의 말을 알아듣지 못했을 때 다시 말해 달라는 뜻으로 하는 말),原諒，寬恕（常用於禮貌的表達方式）,ˈpɑː.dən,ˈpɑː.dən
collide,"충돌하다, 부딪치다",（尤指移動的物體）相撞，碰撞,kəˈlaɪd,kəˈlaɪd
incandescent,백열성의,白熾的，白熱的,ˌɪn.kænˈdes.ənt,ˌɪn.kænˈdes.ənt
vouch,<사물이> <…의 진실성[확실성·신뢰성]을> 보증[보장]하다 ((for)),擔保；證明；作證,vaʊtʃ,vaʊtʃ
hyperglycemia,고(高)[과(過)]혈당(증).,,,
deflect,(특히 무엇에 맞고 난 뒤) 방향을 바꾸다[바꾸게 하다],（使）轉向，（使）偏斜,dɪˈflekt,dɪˈflekt
subaqueous,"물속에 있는, 수중(용)의, 수중에서 일어나는",,,
candid,솔직한,（尤指對棘手或令人痛苦之事）率直的，坦誠的，直言不諱的,ˈkæn.dɪd,ˈkæn.dɪd
abstruse,난해한,難解的；深奧的,æbˈstruːs,æbˈstruːs
curtail,축소[삭감/단축]시키다,制止；減少；縮減；限制,kəˈteɪl,kəˈteɪl
chronology,연대순; 연대표,按事件發生的年代排列的順序；（大事）年表,krəˈnɒl.ə.dʒi,krəˈnɒl.ə.dʒi
countermand,(특히 다른 주문을 함으로써 앞의 주문을) 철회하다,取消，撤回（命令）；重新發布（命令）,ˌkaʊn.təˈmɑːnd,ˌkaʊn.təˈmɑːnd
deviate,,,,
opprobrium,(대중의) 맹비난,譴責；抨擊；討伐；責難,əˈprəʊ.bri.əm,əˈprəʊ.bri.əm
occlude,(…을) 가리다[막다],使…阻塞,əˈkluːd,əˈkluːd
obviate,(문제·필요성을) 제거[배제]하다,排除，消除；使無必要,ˈɒb.vi.eɪt,ˈɒb.vi.eɪt
wraith,(사람의 사망 직전·직후에 나타나는) 유령,鬼魂；幽靈,reɪθ,reɪθ
anthology,"(시)선집, 문집",（藝術作品的）選集；（常指）精選集,ænˈθɒl.ə.dʒi,ænˈθɒl.ə.dʒi
confiscatory,몰수[압수]의; <세금 등을> 심하게 징수하는; 몰수와 마찬가지의,,,
antediluvian,아주 구식인,早已過時的，十分老式的,ˌæn.ti.dɪˈluː.vi.ən,ˌæn.ti.dɪˈluː.vi.ən
jocose,"익살스러운, 유머러스한",滑稽的；幽默的；詼諧的,dʒəˈkəʊs,dʒəˈkəʊs
munificent,대단히 후한,慷慨的，大方的,mjuːˈnɪf.ɪ.sənt,mjuːˈnɪf.ɪ.sənt
influx,(많은 사람·자금·물건이) 밀어닥침[밀려듦],湧進；匯集,ˈɪn.flʌks,ˈɪn.flʌks
kismet,"숙명, 운명",,,
exalt,(때로는 자격이 없는 사람을) 승격[격상]시키다,晉升；提拔,ɪɡˈzɒlt,ɪɡˈzɒlt
epidermis,(피부의) 표피[상피],表皮,ˌep.ɪˈdɜː.mɪs,ˌep.ɪˈdɜː.mɪs
timorous,겁이 많은,羞怯的；膽小的，膽怯的,ˈtɪm.ər.əs,ˈtɪm.ər.əs
remission,(병의) 차도,（疾病的）緩解期，減輕期,rɪˈmɪʃ.ən,rɪˈmɪʃ.ən
pernicious,치명적인(특히 그 영향이 서서히 알아차리기 힘들게 진행되는 경우),極其有害的；惡性的；惡劣的,pəˈnɪʃ.əs,pəˈnɪʃ.əs
exculpate,무죄를 입증[선언]하다,為…開脫；證明…無罪,ˈek.skəl.peɪt,ˈek.skəl.peɪt
diurnal,주행성의,在一天內發生的；白天發生的；晝行性的,ˌdaɪˈɜː.nəl,ˌdaɪˈɜː.nəl
journal,"(특정 주제나 전문 분야를 다루는) 신문[잡지], 저널, 학술지",雜誌，期刊；報紙,ˈdʒɜː.nəl,ˈdʒɜː.nəl
paradox,역설적인 사람[것/상황],自相矛盾的情況；似非而是的說法，悖論；詭論,ˈpær.ə.dɒks,ˈpær.ə.dɒks
filial,(부모에 대한) 자식의,子女的,ˈfɪl.i.əl,ˈfɪl.i.əl
