word,ko,zh,pron_us,pron_uk
macabre,(죽음이나 다른 무서운 것과 관련되어) 섬뜩한[으스스한],（與死亡或暴力有關而）恐怖的，可怕的，令人毛骨悚然的,məˈkɑː.brə,məˈkɑː.brə
moribund,소멸[절멸] 직전의,（尤指組織或公司）無生氣的，停滯不前的，失敗的,ˈmɒr.ɪ.bʌnd,ˈmɒr.ɪ.bʌnd
waspish,"성질이 더러운, 화를 잘 내는",尖刻的，刻毒的；暴躁的，易怒的,ˈwɒs.pɪʃ,ˈwɒs.pɪʃ
defer,"미루다, 연기하다",使延期，使延緩，推遲,dɪˈfɜːr,dɪˈfɜːr
abhorrence,(특히 도덕적인 이유에 의한) 혐오,憎惡；憎恨；厭惡,əˈbɒr.əns,əˈbɒr.əns
detestation,"아주 싫어함, 혐오, 증오(hatred)",,,
eloquent,"웅변[연설]을 잘 하는, 유창한",雄辯的，有說服力的,ˈel.ə.kwənt,ˈel.ə.kwənt
verdict,(배심원단의) 평결,（根據事實作出的）意見，決定；（尤指）判決，裁決,ˈvɜː.dɪkt,ˈvɜː.dɪkt
mundane,"재미없는, 일상적인",世俗的；單調的；平凡的,mʌnˈdeɪn,mʌnˈdeɪn
iconoclast,"우상 파괴자, 인습 타파주의자",反傳統信仰者；反傳統者,aɪˈkɒn.ə.klæst,aɪˈkɒn.ə.klæst
homonym,동철 (동음) 이의어(‘…할 수 있는’의 뜻을 나타내는 can과 ‘통조림으로 만들다’는 뜻의 can처럼 철자는 같으나 뜻은 다른 단어. 발음도 동일할 수 있음),同形（或同音）異義詞,ˈhɒm.ə.nɪm,ˈhɒm.ə.nɪm
euphemism,완곡 어구[표현],委婉語，委婉說法,ˈjuː.fə.mɪ.zəm,ˈjuː.fə.mɪ.zəm
melodious,"듣기 좋은, 음악 같은",旋律優美的，悅耳的,məˈləʊ.di.əs,məˈləʊ.di.əs
eerily,"무시무시하게, 무서워하여; 불가사의하게",,,
apothegm,"경구, 격언",,,
attenuant,희석하는,,,
brevity,간결성,簡短，簡潔；短暫,ˈbrev.ə.ti,ˈbrev.ə.ti
incessant,"끊임없는, 쉴새없는",連續不斷的，沒完沒了的,ɪnˈses.ənt,ɪnˈses.ənt
amphibian,양서류 (동물),兩棲動物,æmˈfɪb.i.ən,æmˈfɪb.i.ən
turgid,복잡하고 따분한[이해하기 힘든],（講話、寫作、風格等）太嚴肅的，枯燥乏味的,ˈtɜː.dʒɪd,ˈtɜː.dʒɪd
gabby,"수다스러운, 말이 많은",,,
architect,건축가,建築師,ˈɑː.kɪ.tekt,ˈɑː.kɪ.tekt
misanthropic,사람을 싫어하는,厭惡人類的；遁世的，不與他人交往的,ˌmɪs.ənˈθrɒp.ɪk,ˌmɪs.ənˈθrɒp.ɪk
largess,"아낌없이 줌; (아낌없이 주어진) 선물, 축의(祝儀).",,,
bolster,"북돋우다, 강화[개선]하다",支撐；加固；提高；改善,ˈbəʊl.stər,ˈbəʊl.stər
humility,겸손,謙遜，謙恭,hjuːˈmɪl.ə.ti,hjuːˈmɪl.ə.ti
dyslexia,"난독증, 독서 장애",（因無法分清字形而造成的）讀寫障礙,dɪˈslek.si.ə,dɪˈslek.si.ə
precursor,선도자(격인 사람·사물),先驅，先鋒；先兆，前兆,ˌpriːˈkɜː.sər,ˌpriːˈkɜː.sər
canny,(특히 재계·정계에서) 약삭빠른[영리한],（尤指在生意或財務方面）精明的，機靈的,ˈkæn.i,ˈkæn.i
decay,"부패, 부식",腐蝕；（使）衰敗，（使）衰弱,dɪˈkeɪ,dɪˈkeɪ
jocund,"명랑한, 쾌활한",高興的；快樂的；愉快的,ˈdʒɒk.ənd,ˈdʒɒk.ənd
effulgent,"찬란히 빛나는, 눈부신",,,
sustenance,"(음식·물 등) 생명을 건강하게 유지시켜 주는 것, 자양물",食物,ˈsʌs.tən.əns,ˈsʌs.tən.əns
abolish,(법률·제도·조직을) 폐지하다,廢除，廢止,əˈbɒl.ɪʃ,əˈbɒl.ɪʃ
incisive,(사물 인식 능력이) 예리한[날카로운],銳利的；深刻的,ɪnˈsaɪ.sɪv,ɪnˈsaɪ.sɪv
lectern,"(책 등을 받치는) 독서대, (교회의) 성서대",斜面講桌,ˈlek.tən,ˈlek.tən
fatuity,"어리석음, 우둔",,,
fraternal,공제(共濟)의(사상·이해관계가 같은 개인·집단이 서로 돕기 위한 것),兄弟的，手足的,frəˈtɜː.nəl,frəˈtɜː.nəl
reproof,"책망, 나무람",責備；斥責；指責,rɪˈpruːf,rɪˈpruːf
bicentennial,"200년간 계속되는, 200년마다의",,,
cum laude,우등으로(미국 대학 학위 취득자 우등 등급의 세 번째 등급),（拉丁語）以優等成績畢業（美國大學優等學位榮譽中的第三等）,ˌkʊm ˈlaʊ.deɪ,ˌkʊm ˈlaʊ.deɪ
reprehend,"꾸짖다, 나무라다, 비난하다(blame)",,,
archaic,"낡은, 폐물이 된",古老的，古代的；原始的,ɑːˈkeɪ.ɪk,ɑːˈkeɪ.ɪk
spartan,"검소하고 엄격한, 스파르타식의",簡樸的，清苦的；斯巴達式的,ˈspɑː.tən,ˈspɑː.tən
equidistant,등거리의,等距的,ˌek.wɪˈdɪs.tənt,ˌek.wɪˈdɪs.tənt
antiseptic,소독제[약],防腐劑；（尤指）殺菌劑，消毒劑,ˌæn.tiˈsep.tɪk,ˌæn.tiˈsep.tɪk
disjointed,"연결이 안 되는, 일관성이 없는",（尤指詞語或想法）不連貫的，沒有條理的，雜亂無章的,dɪsˈdʒɔɪn.tɪd,dɪsˈdʒɔɪn.tɪd
chasten,"잘못을 깨닫게 하다, 훈계하다",懲戒；磨煉；教訓,ˈtʃeɪ.sən,ˈtʃeɪ.sən
amoral,도덕관념이 없는,毫無道德觀念的；沒有道德的,ˌeɪˈmɒr.əl,ˌeɪˈmɒr.əl
inherent,내재하는,內在的；固有的，生來就有的,ɪnˈher.ənt,ɪnˈher.ənt
callow,"미숙한, 풋내기인",（尤指年輕人）幼稚的；不自信的；不諳世事的,ˈkæl.əʊ,ˈkæl.əʊ
harbinger,(흔히 좋지 않은 일이 곧 일어날) 조짐,（尤指壞事的）先兆，預兆,ˈhɑː.bɪn.dʒər,ˈhɑː.bɪn.dʒər
curt,퉁명스러운,（態度或說話）簡短失禮的，唐突的，草率的,kɜːt,kɜːt
dissect,(인체·동식물을) 해부[절개]하다,解剖（尤指屍體或植物）,daɪˈsekt,daɪˈsekt
descry,(불현듯) 보게 되다,,,
abet,(나쁜 일을) 사주하다[교사하다],教唆，唆使，慫恿；夥同…作案,əˈbet,əˈbet
askance,"의심[불신]의 눈으로; 옆으로, 비스듬히; 곁눈으로; 빗대어, 어물어물",,,
thesaurus,유의어 사전,同義詞詞典,θɪˈsɔː.rəs,θɪˈsɔː.rəs
pithy,간결하나 함축적인,（講話或寫作）言簡意賅的，簡潔有力的,ˈpɪθ.i,ˈpɪθ.i
bilateral,"쌍방의, 쌍무적인",雙邊的，雙方的,ˌbaɪˈlæt.ər.əl,ˌbaɪˈlæt.ər.əl
infallible,결코 틀리지[실수하지] 않는,不可能錯誤的；永無過失的；不會犯錯誤的,ɪnˈfæl.ə.bəl,ɪnˈfæl.ə.bəl
euthanasia,안락사,安樂死,ˌjuː.θəˈneɪ.ʒə,ˌjuː.θəˈneɪ.ʒə
infusion,(어떤 것을 더 강하게·성공적이 되게 하기 위한) 투입,注入；灌輸,ɪnˈfjuː.ʒən,ɪnˈfjuː.ʒən
harried,"몹시 곤란을 겪는, 어찌할 바를 모르는.",,,
carom,(…에) 부딪쳐[맞고] 튀어나오다,,,
ingenuous,"순진한, 천진한, 사람을 잘 믿는",天真的；胸無城府的,ɪnˈdʒen.ju.əs,ɪnˈdʒen.ju.əs
dichotomy,"양분(兩分), 이분(二分)",一分為二，對立,daɪˈkɒt.ə.mi,daɪˈkɒt.ə.mi
fey,"약간 특이한, 비현실적인 데가 있는",神秘古怪的；故弄玄虛的,feɪ,feɪ
turpitude,대단히 부도덕한 행위,邪惡；墮落,ˈtɜː.pɪ.tʃuːd,ˈtɜː.pɪ.tʃuːd
reclaim,(분실하거나 빼앗긴 물건 등을) 되찾다[돌려 달라고 하다],取回；拿回；收回,rɪˈkleɪm,rɪˈkleɪm
duress,"협박, 압력",威脅，脅迫,dʒuˈres,dʒuˈres
vindicate,(특히 남들은 달리 생각할 때) …의 정당성을 입증하다,證明…正確；證明…是真的,ˈvɪn.dɪ.keɪt,ˈvɪn.dɪ.keɪt
rent,"집세, 방세, 지대, 임차료",租金；租費,rent,rent
disconsolate,암담한,沮喪的，鬱鬱寡歡的,dɪˈskɒn.səl.ət,dɪˈskɒn.səl.ət
relax,(즐기는 일을 하면서) 휴식을 취하다[느긋이 쉬다],（使）放鬆，（使）輕鬆；（使身體部位）鬆弛，放鬆,rɪˈlæks,rɪˈlæks
preclude,"(~로 하여금 ~하지) 못하게 하다, (~가 ~하는 것을) 불가능하게 하다",排除，防止，杜絕；阻礙,prɪˈkluːd,prɪˈkluːd
predilection,(…을) 매우 좋아함,偏愛，偏好,ˌpriː.dɪˈlek.ʃən,ˌpriː.dɪˈlek.ʃən
idiom,"관용구, 숙어",習語，成語，慣用語,ˈɪd.i.əm,ˈɪd.i.əm
assuage,(안 좋은 감정을) 누그러뜨리다[달래다],緩和；減輕；平息,əˈsweɪdʒ,əˈsweɪdʒ
extol,극찬[격찬]하다,讚揚；讚頌；讚美,ɪkˈstəʊl,ɪkˈstəʊl
incognito,"자기 신분을 숨기고, 가명[익명]으로",隱姓埋名地，隱藏身分地,ˌɪn.kɒɡˈniː.təʊ,ˌɪn.kɒɡˈniː.təʊ
dissemble,"(진짜 감정·의도를) 숨기다, 가식적으로 꾸미다",掩蓋，掩飾（動機、感情、真相等）,dɪˈsem.bəl,dɪˈsem.bəl
slake,(물을 마셔) 갈증을 해소하다,滿足,sleɪk,sleɪk
acidulous,신맛이 나는,,,
chronic,만성적인,（尤指疾病或不好的事物）慢性的，長期的,ˈkrɒn.ɪk,ˈkrɒn.ɪk
admonish,"꾸짖다, 책망하다",告誡；警告；責備,ədˈmɒn.ɪʃ,ədˈmɒn.ɪʃ
agnostic,불가지론자,不可知論者（對神存在與否不能肯定或認為不可知）,æɡˈnɒs.tɪk,æɡˈnɒs.tɪk
sectarian,종파(宗派)의,（人）派系的，教派性的，（尤指）排斥其他信仰的；有門戶之見的,sekˈteə.ri.ən,sekˈteə.ri.ən
chaste,(육체적으로) 순결한,純潔的；貞潔的,tʃeɪst,tʃeɪst
eon,,極長的時期；萬古,ˈiː.ɒn,ˈiː.ɒn
scion,(특히 명문가의) 자손,豪門望族的後裔，富家子弟,ˈsaɪ.ən,ˈsaɪ.ən
auspice,"[보통 pl.] 원조, 찬조, 보호(patronage)",,,
duplicity,"이중성, 표리부동",欺騙；（尤指）搞兩面派,dʒuˈplɪs.ə.ti,dʒuˈplɪs.ə.ti
ontology,존재론,本體論,ɒnˈtɒl.ə.dʒi,ɒnˈtɒl.ə.dʒi
certitude,확신,確定；確信,ˈsɜː.tɪ.tʃuːd,ˈsɜː.tɪ.tʃuːd
extrapolate,(…을 기반으로) 추론[추정]하다,推斷；推知,ɪkˈstræp.ə.leɪt,ɪkˈstræp.ə.leɪt
perjury,위증죄,偽證罪,ˈpɜː.dʒər.i,ˈpɜː.dʒər.i
carousal,"흥청거림, 큰 술잔치[연회]",,,
sanguine,"낙관적인, 자신감이 넘치는",樂觀的，樂天的,ˈsæŋ.ɡwɪn,ˈsæŋ.ɡwɪn
consummate,(결혼식 후) 첫날밤을 치르다[성관계를 하다],完美無缺的；圓滿的,ˈkɒn.sə.mət,ˈkɒn.sə.mət
mainstay,(무엇의 존재·성공을 가능하게 하는) 중심[대들보/기둥],,,
conducive,~에 좋은(어떤 일이 일어나기 쉽게 한다는 의미로),有利的，有助的，有益的,kənˈdʒuː.sɪv,kənˈdʒuː.sɪv
aviation,항공(술),航空（學）；飛行（術）；航空工業,ˌeɪ.viˈeɪ.ʃən,ˌeɪ.viˈeɪ.ʃən
bromide,브롬화물(과거엔 진정제로 쓰였음),溴化物鎮靜劑,ˈbrəʊ.maɪd,ˈbrəʊ.maɪd
dilate,"확장[팽창]하다[시키다], 키우다[커지다]",（使身體的一部分）擴張，展開,daɪˈleɪt,daɪˈleɪt
accelerant,"촉진제, 촉매",,,
mitigate,완화[경감]시키다,使緩和；減輕（危害等）,ˈmɪt.ɪ.ɡeɪt,ˈmɪt.ɪ.ɡeɪt
magnanimous,(특히 적이나 경쟁자에게) 도량이 넓은[너그러운],（對敵人或失敗者）寬宏大量的，大度的,mæɡˈnæn.ɪ.məs,mæɡˈnæn.ɪ.məs
seminal,(앞으로 전개될 일에) 중대한[영향력이 큰],具有開拓性的；有深遠影響的,ˈsem.ɪ.nəl,ˈsem.ɪ.nəl
avid,(흔히 취미에) 열심인[열렬한],渴望的；急切的；熱衷的；幹勁十足的,ˈæv.ɪd,ˈæv.ɪd
cadaver,"시체, 사체",屍體，死屍,kəˈdæv.ər,kəˈdæv.ər
tantamount,(나쁜 효과가) ~와 마찬가지의[~에 상당하는],,,
heterodox,이설[이교]의,（信仰、想法或活動）非正統的，異端的,ˈhet.ər.ə.dɒks,ˈhet.ər.ə.dɒks
leash,"(개 등을 매어 두는) 가죽끈[줄], 사슬",（牽狗等動物用的）繩索，鏈子,liːʃ,liːʃ
insipid,맛[풍미]이 없는,無味的；無特色的；無生氣的；乏味的,ɪnˈsɪp.ɪd,ɪnˈsɪp.ɪd
bereave,(가족·친지와[를]) 사별하다[여의다],,,
gregarious,"남과 어울리기 좋아하는, 사교적인",（人）愛交際的，不喜獨處的,ɡrɪˈɡeə.ri.əs,ɡrɪˈɡeə.ri.əs
accede,(요청·제의 등에) 응하다,,,
aggregate,"합계, 총액",聚集體，集成體；總數，合計,ˈæɡ.rɪ.ɡət,ˈæɡ.rɪ.ɡət
dauntless,불굴의,決然的；無畏的,ˈdɔːnt.ləs,ˈdɔːnt.ləs
prolix,장황한,冗長的；囉唆的；好長篇大論的,ˈprəʊ.lɪks,ˈprəʊ.lɪks
plaintive,(소리가) 애처로운[구슬픈],傷感的,ˈpleɪn.tɪv,ˈpleɪn.tɪv
undulating,"물결 모양의, 올라갔다 내려갔다 하는",,,
decelerate,(차량의) 속도를 줄이다,（使）降低速度；（使）減速,ˌdiːˈsel.ər.eɪt,ˌdiːˈsel.ər.eɪt
prescient,선견지명[예지력]이 있는,預知的，有預知能力的，有先見之明的,ˈpres.i.ənt,ˈpres.i.ənt
antibody,항체,抗體,ˈæn.tiˌbɒd.i,ˈæn.tiˌbɒd.i
objurgate,"꾸짖다, 책망하다, 비난하다",,,
zealot,"(특히 종교·정치에) 열성적인 사람, 열성분자, 광신자",狂熱者；熱心者,ˈzel.ət,ˈzel.ət
adjudicate,"(분쟁에 대해) 판결[판정]을 내리다, 재결하다",擔任裁判；判決，裁定，裁決,əˈdʒuː.dɪ.keɪt,əˈdʒuː.dɪ.keɪt
dolor,"슬픔, 비탄(grief)",,,
indolent,"게으른, 나태한",懶散的；懶惰的,ˈɪn.dəl.ənt,ˈɪn.dəl.ənt
circuitous,빙 돌아가는,迂迴的，繞行的,sɜːˈkjuː.ɪ.təs,sɜːˈkjuː.ɪ.təs
propitiator,달래는 사람 ; 화해시키는 사람.,,,
reprobate,타락한 사람,墮落者；放蕩者；惡棍,ˈrep.rə.beɪt,ˈrep.rə.beɪt
espouse,(주의·정책 등을) 옹호[지지]하다,投身（活動）；支持，擁護（觀點）,esˈpaʊz,esˈpaʊz
salutary,"(흔히 불쾌해 보이지만) 유익한, 효과가 좋은",（對行爲或性格的改善）有益的,ˈsæl.jə.tər.i,ˈsæl.jə.tər.i
flippant,"경솔한, 건방진",輕率的；浮誇的,ˈflɪp.ənt,ˈflɪp.ənt
antecede,"…에 선행하다, 앞서다",,,
temper,(걸핏하면 화를 내는) 성질[성미],脾氣；易怒,ˈtem.pər,ˈtem.pər
cursory,"대충 하는, 피상적인",倉促的；草草的；粗略的,ˈkɜː.sər.i,ˈkɜː.sər.i
ablution,목욕 (재계),沐浴；淨體（禮）；淨手（禮）,əˈbluː.ʃən,əˈbluː.ʃən
intrastate,주(州)내의,,,
deride,조롱[조소]하다,嘲笑，譏笑,dɪˈraɪd,dɪˈraɪd
aquamarine,"아쿠아마린, 남옥(藍玉)",海藍寶石,ˌæk.wə.məˈriːn,ˌæk.wə.məˈriːn
accretion,(서서히 막처럼 생기는) 부착물,堆積，積聚；逐漸的增加，增大,əˈkriː.ʃən,əˈkriː.ʃən
dissonant,"귀에 거슬리는, [음악] 불협화(음)의; 조화되지 않은(opp. harmonious)",,,
rift,(사람들 사이의) 균열[틈],（地面或岩石上的）裂縫，裂口,rɪft,rɪft
sententious,"무게를 잡는, 훈계조의",好說教的；說教式的；自以爲是的,senˈten.ʃəs,senˈten.ʃəs
decamp,(흔히 몰래) 서둘러 떠나다,不辭而別，偷偷溜走,diːˈkæmp,diːˈkæmp
iniquity,부당성; 부당한 것,極其錯誤；極不公正,ɪˈnɪk.wə.ti,ɪˈnɪk.wə.ti
abate,(강도가) 약해지다; (강도를) 약화시키다[줄이다],減少；減弱；減輕；減退,əˈbeɪt,əˈbeɪt
protagonist,(연극·영화·책 속의) 주인공,（某一想法或政治制度的）主要支持者，主要擁護者,prəˈtæɡ.ən.ɪst,prəˈtæɡ.ən.ɪst
incubate,(알을) 품다,孵（卵），孵化,ˈɪŋ.kjə.beɪt,ˈɪŋ.kjə.beɪt
donate,(특히 자선단체에) 기부[기증]하다,捐贈，捐助，捐獻,dəʊˈneɪt,dəʊˈneɪt
fetid,악취가 진동하는,惡臭的；腐臭的,ˈfet.ɪd,ˈfet.ɪd
antagonism,"적의, 적대감",對抗，對立；敵對；敵意,ænˈtæɡ.ən.ɪ.zəm,ænˈtæɡ.ən.ɪ.zəm
jurisprudence,법학,法學；法律學,ˌdʒʊə.rɪsˈpruː.dəns,ˌdʒʊə.rɪsˈpruː.dəns
holograph,자필문,,,
affirm,단언하다,證實；確認；斷言,əˈfɜːm,əˈfɜːm
allude,"암시하다, 시사(示唆)하다, 넌지시 말하다 ((to)) ((직접 언급할 때는 refer, mention을 씀; ⇒ refer [유의어/] ))",影射，暗指；間接提到,əˈluːd,əˈluːd
vortex,(물·공기 등의) 소용돌이,漩渦；渦流,ˈvɔː.teks,ˈvɔː.teks
delineate,(상세하게) 기술하다[그리다/설명하다],描述；勾畫,dɪˈlɪn.i.eɪt,dɪˈlɪn.i.eɪt
foible,(별로 해롭지 않은) 기벽[약점],（無傷大雅的）怪癖，小毛病，小缺點,ˈfɔɪ.bəl,ˈfɔɪ.bəl
opulent,호화로운,奢華的，豪華的，奢侈的,ˈɒp.jə.lənt,ˈɒp.jə.lənt
perambulator,(바퀴 하나에 기다란 손잡이가 달린) 거리 측정계,手推童車，嬰兒車（pram的正式說法）,,
simulate,"…한 체[척]하다, 가장하다",類比，模仿；假裝，僞裝,ˈsɪm.jə.leɪt,ˈsɪm.jə.leɪt
compunction,"죄책감, 거리낌",良心的不安；內疚；自責；後悔,kəmˈpʌŋk.ʃən,kəmˈpʌŋk.ʃən
demise,(기관·사상·기업 등의) 종말,,,
tenet,"주의(主義), 교리(敎理)",信條；宗旨；原則,ˈten.ɪt,ˈten.ɪt
deign,치사스럽지만[자기 격에 떨어지지만] 한다는 듯이 굴다,,,
sorority,(미국 대학의) 여학생 클럽,（美國某些大學的）女生聯誼會，姊妹會,səˈrɒr.ə.ti,səˈrɒr.ə.ti
dulcet,(소리가) 감미로운,柔和動聽的，輕柔悅耳的,ˈdʌl.sət,ˈdʌl.sət
vituperation,혹평,,,
malignant,악성의,（疾病或腫塊）惡性的，致命的,məˈlɪɡ.nənt,məˈlɪɡ.nənt
incantation,(마술을 걸기 위한) 주문[주문을 외기],咒語；唸咒,ˌɪn.kænˈteɪ.ʃən,ˌɪn.kænˈteɪ.ʃən
disclose,(특히 비밀이던 것을) 밝히다[폭로하다],公開，公佈；透露，揭露,dɪˈskləʊz,dɪˈskləʊz
enumerate,열거하다,列舉，枚舉,ɪˈnjuː.mə.reɪt,ɪˈnjuː.mə.reɪt
interdict,(법원의) 금지 명령,（法庭發出的）強制令；禁令,ˈɪn.tə.dɪkt,ˈɪn.tə.dɪkt
regress,퇴행[퇴보/회귀]하다,退步；退化；倒退,rɪˈɡres,rɪˈɡres
dyspepsia,소화 불량,消化不良,dɪˈspep.si.ə,dɪˈspep.si.ə
elegy,"애가, 비가",（尤指懷念故人或往事的）輓歌；輓詩；哀歌,ˈel.ə.dʒi,ˈel.ə.dʒi
coherent,"일관성 있는, 논리[조리] 정연한",（論據、觀點、計劃）有條理的，連貫的，前後一致的,kəʊˈhɪə.rənt,kəʊˈhɪə.rənt
inexorable,"멈출[변경할] 수 없는, 거침없는",不可阻攔的,ɪˈnek.sər.ə.bəl,ɪˈnek.sər.ə.bəl
fortnight,2주일(간),兩星期，兩週,ˈfɔːt.naɪt,ˈfɔːt.naɪt
ensue,(어떤 일·결과가) 뒤따르다,（尤指作爲結果而）接著發生，繼而發生，因而産生,ɪnˈsjuː,ɪnˈsjuː
inimical,~에 해로운[반하는/불리한],有害的；不利的；限制性的,ɪˈnɪm.ɪ.kəl,ɪˈnɪm.ɪ.kəl
undermine,(특히 자신감·권위 등을) 약화시키다,（常指逐漸地）削弱信心、權威等，損害,ˌʌn.dəˈmaɪn,ˌʌn.dəˈmaɪn
inflect,(단어·언어가) 굴절하다[어미·어형 변화를 하다],（使）（詞）發生屈折變化,ɪnˈflekt,ɪnˈflekt
presage,(보통 불길한 일의) 전조가 되다,預示，預兆（尤指不祥之事）,ˈpres.ɪdʒ,ˈpres.ɪdʒ
hone,(특히 기술을) 연마하다,使…變鋒利；把…磨尖,həʊn,həʊn
libertine,난봉꾼,放蕩鬼，浪蕩子,ˈlɪb.ə.tiːn,ˈlɪb.ə.tiːn
satiate,"(식욕·성욕 등을) 실컷 만족시키다, 물릴[질릴] 정도로 주다",（尤指飲食或享樂）使飽足，使厭膩,ˈseɪ.ʃi.eɪt,ˈseɪ.ʃi.eɪt
epigram,경구(警句); 짧은 풍자시,詼諧短詩；警句；雋語,ˈep.ɪ.ɡræm,ˈep.ɪ.ɡræm
tirade,"장황한 비난, 장광설",長篇抨擊性演說,taɪˈreɪd,taɪˈreɪd
gaucherie,"어색함, 서투름",,,
forthright,솔직 담백한,（過於）坦誠的，直率的；直截了當的,ˈfɔːθ.raɪt,ˈfɔːθ.raɪt
interregnum,(국가·조직 등에서 신임 지도자가 취임하기 전의) 최고 지도자 부재 기간,（國家或組織的）權力空白期，空位期,ˌɪn.təˈreɡ.nəm,ˌɪn.təˈreɡ.nəm
discord,"불화, 다툼",看法不一致，缺乏共識,ˈdɪs.kɔːd,ˈdɪs.kɔːd
deleterious,"해로운, 유해한",有害的，造成危害的,ˌdel.ɪˈtɪə.ri.əs,ˌdel.ɪˈtɪə.ri.əs
philanthropic,"인정 많은, 인자한; 박애(주의)의, 동포애의",慈善的；樂善好施的（尤指透過捐款幫助窮人）,ˌfɪl.ənˈθrɒp.ɪk,ˌfɪl.ənˈθrɒp.ɪk
erratic,"불규칙한, 일정치 않은, 변덕스러운",（動作、行爲等）不規則的，不確定的，無計劃的,ɪˈræt.ɪk,ɪˈræt.ɪk
chide,"꾸짖다, 책망하다",責駡，呵斥，訓斥,tʃaɪd,tʃaɪd
cardiac,심장(병)의,心臟的；心臟病的,ˈkɑː.di.æk,ˈkɑː.di.æk
hypochondriac,심기증 환자,,,
turbid,"탁한, 흐린",（液體）渾濁的，汙濁的,ˈtɜː.bɪd,ˈtɜː.bɪd
abrupt,"돌연한, 갑작스런",突然的；意外的,əˈbrʌpt,əˈbrʌpt
peripatetic,(특히 일을 하러) 이동해 다니는,（通常指因工作而）巡迴的，流動的；漫遊的,ˌper.ɪ.pəˈtet.ɪk,ˌper.ɪ.pəˈtet.ɪk
infatuated,(사랑하는 대상에게) 미쳐 있는[푹 빠진],（通常短期）熱戀的，著迷的,ɪnˈfætʃ.u.eɪ.tɪd,ɪnˈfætʃ.u.eɪ.tɪd
limpid,맑은,清澈的，透明的,ˈlɪm.pɪd,ˈlɪm.pɪd
prevaricate,얼버무리다,支吾，搪塞，含糊其詞；顧左右而言他,prɪˈvær.ɪ.keɪt,prɪˈvær.ɪ.keɪt
trite,진부한; 독창적이지 못한,陳腐的；老一套的,traɪt,traɪt
vituperate,"호통치다, 욕설하다; 혹평하다",,,
genuflect,무릎을 꿇다(경의를 표하거나 예배를 드리기 위해 한 쪽 또는 양 쪽 무릎을 꿇는 것),（尤指進出天主教教堂時）下跪，跪拜,ˈdʒen.ju.flekt,ˈdʒen.ju.flekt
abdicate,"왕위에서 물러나다, 퇴위하다",遜位；退（位），讓（位），正式放棄（王位）,ˈæb.dɪ.keɪt,ˈæb.dɪ.keɪt
dissuade,(~을 하지 않도록) ~를 설득[만류]하다,勸說…不做某事，勸阻,dɪˈsweɪd,dɪˈsweɪd
fealty,(특히 왕에 대한) 충성 서약,（对国王或女王）忠诚的，忠心耿耿的,ˈfiːl.ti,ˈfiːl.ti
putative,"(…로) 추정되는, 추정상의",假定存在的，被認為存在的,ˈpjuː.tə.tɪv,ˈpjuː.tə.tɪv
decadent,"타락한, 퇴폐적인",（人或組織）腐朽的；頹廢的；墮落的,ˈdek.ə.dənt,ˈdek.ə.dənt
gainsay,"부정하다, 반대하다",否認；反駁；反對,ˌɡeɪnˈseɪ,ˌɡeɪnˈseɪ
slothful,나태한,懶惰的，懶散的,ˈsləʊθ.fəl,ˈsləʊθ.fəl
stultify,바보처럼 보이게 하다,,,
bibliography,참고문헌 (목록),參考書目，文獻目錄,ˌbɪb.liˈɒɡ.rə.fi,ˌbɪb.liˈɒɡ.rə.fi
criterion,(판단이나 결정을 위한) 기준,（作出評判、決定或處理的）標準，準則,kraɪˈtɪə.ri.ən,kraɪˈtɪə.ri.ən
opulently,"가멸지게, 부유하게; 풍부하게.",,,
disdain,"업신여김, 무시",輕視，蔑視，鄙視,dɪsˈdeɪn,dɪsˈdeɪn
